關鍵點索引,關鍵點名稱,絕對位移(舊),絕對位移(新),相對位移(舊),相對位移(新),相對位移改善%,rel_std(舊),rel_std(新),jerk(舊),jerk(新),信心均值(舊),信心均值(新),信心std(舊),信心std(新),不穩定率(舊)%,不穩定率(新)%,平滑度(舊),平滑度(新)
0,鼻尖,0.02788386575229543,0.023857224973318637,0.026767647689698717,0.02267127836031181,15.303433547240763,0.10697655406513222,0.06302134483880698,7.978053577807592,7.115557402055898,0.9210615492126901,0.9110940802778404,0.16930954197291098,0.1749668721925137,2.97225891677675,3.500660501981506,0.9640763939883696,0.9836566532399399
1,左耳,0.03892462557684505,0.027367693119951263,0.037280963755523255,0.025395693694004157,31.880264203083076,0.15353009940918946,0.08941375860075855,8.720464967671981,6.623918774816338,0.9749746191139422,0.9700990384210841,0.05940371581171262,0.04433823554804063,6.274768824306473,5.812417437252312,0.9414135680499144,0.9718258238636776
2,右耳,0.04190277778963611,0.028730501089059987,0.041110271284901176,0.027322877312183944,33.53758855491943,0.18383585449714723,0.10238584230558796,9.097751394199927,7.21216747816032,0.9050736429078733,0.9028044506179137,0.10708775690746411,0.08733441318132262,5.746367239101717,5.680317040951123,0.9175443647357369,0.9614788540217941
3,胸部,0.01848810241394804,0.01547474733532377,0.01875843682711529,0.01591964164146915,15.133430682285631,0.06745046906871163,0.05854541986763277,4.684991756715448,4.282394742830468,0.9990049799020886,0.9982245290452612,0.0013246224901412266,0.0028539584443766667,3.104359313077939,2.7080581241743724,0.987225531262737,0.9858517672773323
4,中背,0.013122960544263772,0.011810508044896592,0.013995422896952749,0.01262970833967128,9.758293620379929,0.041347585497646264,0.03958803361070573,3.607789939375438,3.4447731844005918,0.9993654330466508,0.9995355860402751,0.001528304882786165,0.0006340369864932221,2.1136063408190227,1.8494055482166447,0.9945308151952202,0.9936068927880736
5,髖部,0.020201879989533475,0.01732049786111581,0.022135376054314343,0.018768995517396934,15.20814634716727,0.08285333921998789,0.06411669460147541,4.690174992946374,4.580284860041818,0.9999910827278303,0.9999893356897085,5.9358691165466545e-05,0.00010522650897757502,4.29326287978864,4.16116248348745,0.983007361349482,0.9862093022275606
6,左前上,0.01644566003786864,0.014802171626423109,0.01663290890874435,0.015689851747816664,5.669826663534656,0.04443315029080019,0.04326347544564871,5.099437518585239,4.829578418170011,0.9963679425467589,0.9981046900094107,0.010397498915611404,0.005036373147090186,2.7741083223249667,2.97225891677675,0.9935755562524365,0.9926601808203628
7,左前下,0.030211983928975276,0.025245262294948327,0.03011881627651998,0.02573192763106863,14.565275273512418,0.08846430484727817,0.0683655234229193,8.7393186339057,8.172724061889646,0.9892515399969396,0.9898697835844763,0.015748628287255165,0.016032535212434734,7.133421400264201,6.208718626155878,0.9769344954969765,0.9858094245387415
8,右前上,0.019216039402237293,0.01795999803393615,0.02058501081177479,0.01864136180914803,9.442059205013328,0.06945614035776018,0.06658988818246156,5.599370618932033,5.562415386865705,0.9962882979857874,0.9984799664433125,0.009117909410086155,0.002805355954119885,4.095112285336857,3.302509907529723,0.9840370013476457,0.9813432263095058
9,右前下,0.03445234307351067,0.030443517857734154,0.03500799112076115,0.03086601393578103,11.831518844874749,0.1323490428449255,0.11060176394558337,9.846542259776863,9.83719715671546,0.9852771486599821,0.9870802938072023,0.022704312270669446,0.019959679970460255,8.058124174372523,7.067371202113606,0.9383460382006268,0.9468549323224613
10,左後上,0.016631465955701686,0.015291812076550478,0.018863390118804304,0.017506646332887704,7.192470205233172,0.0513718525111849,0.05451542175261303,4.002124444570604,4.145162896959027,0.8887186618139221,0.8915117764204687,0.2998958688575415,0.2990951884602703,3.963011889035667,2.7080581241743724,0.9939477616999922,0.9906102541256298
11,左後下,0.0243184548077172,0.02177783111323258,0.026583881079047925,0.022913022708109288,13.80858657145422,0.06949465743297709,0.05405341248574278,6.5390693828000295,6.513148291213294,0.897608956744214,0.8975222558765814,0.29936430076565007,0.2993003692934929,5.416116248348745,4.887714663143989,0.9876294473691707,0.9918963172662646
12,右後上,0.015493384678366723,0.013729521313674326,0.017546821051860766,0.015448744709815432,11.957016124312048,0.04759718140342123,0.03910050177571311,4.8046972566197335,4.206724183058015,0.9717374962891109,0.9613550685178809,0.06237307055974622,0.10239363087759579,2.97225891677675,2.3778071334214,0.9919151797266403,0.9944842699786349
13,右後下,0.023811029955157888,0.022168538847923098,0.02432178888143681,0.022589944448286305,7.120546808408642,0.056445979143426174,0.057161241702261285,7.294568578260849,7.056945185974246,0.9935399891127054,0.9872142272943549,0.015181867176173109,0.045139188417913076,6.208718626155878,5.284015852047556,0.988766032767366,0.988740316451579
14,尾根,0.02272031599219963,0.0185144291591652,0.02413583626130675,0.020050460582082937,16.926596061257275,0.10296384723121708,0.08355990576486068,5.398533260501542,4.926000541339867,0.9985831764919125,0.9985041561262138,0.004034395155820674,0.007315148641465792,4.491413474240423,3.632760898282695,0.9696705660734364,0.9724324976872272
15,尾中,0.025457436755314304,0.021734798522258042,0.025006178219780663,0.021281579291202727,14.894714205805831,0.10522134344732317,0.0962742485953633,5.595860781877849,5.055481920213563,0.9984672374659201,0.9986104499474857,0.010222644951489819,0.0120397947649274,4.7556142668428,3.632760898282695,0.9751417298468055,0.9668569240574695
16,尾尖,0.027367128532091653,0.025815402473772783,0.025169873554265032,0.02439985234627496,3.059296963637796,0.12328310074420318,0.09827332879440442,7.177327724549208,6.537537168418368,0.9815101016071702,0.9888574117634696,0.08915800344193316,0.05438166380968545,3.830911492734478,4.227212681638045,0.9704474314553984,0.9638664259559204
