frame_idx,timestamp_sec,detected,body_scale_px,active_kpts,mean_kpt_conf,displacement_px,activity_value,activity_score,abnormal,behavior_id,behavior_label,gcn_confidence
0,0.000,0,0.00,0,0.0000,0.0000,0,0,0,-1,LOW CONF,0.0000
1,0.033,0,0.00,0,0.0000,0.0000,0,0,0,-1,LOW CONF,0.0000
2,0.067,0,0.00,0,0.0000,0.0000,0,0,0,-1,LOW CONF,0.0000
3,0.100,0,0.00,0,0.0000,0.0000,0,0,0,-1,LOW CONF,0.0000
4,0.133,0,0.00,0,0.0000,0.0000,0,0,0,-1,LOW CONF,0.0000
5,0.167,0,0.00,0,0.0000,0.0000,0,0,0,-1,LOW CONF,0.0000
6,0.200,0,0.00,0,0.0000,0.0000,0,0,0,-1,LOW CONF,0.0000
7,0.233,0,0.00,0,0.0000,0.0000,0,0,0,-1,LOW CONF,0.0000
8,0.266,0,0.00,0,0.0000,0.0000,0,0,0,-1,LOW CONF,0.0000
9,0.300,0,0.00,0,0.0000,0.0000,0,0,0,-1,LOW CONF,0.0000
10,0.333,0,0.00,0,0.0000,0.0000,0,0,0,-1,LOW CONF,0.0000
11,0.366,0,0.00,0,0.0000,0.0000,0,0,0,-1,LOW CONF,0.0000
12,0.400,0,0.00,0,0.0000,0.0000,0,0,0,-1,LOW CONF,0.0000
13,0.433,0,0.00,0,0.0000,0.0000,0,0,0,-1,LOW CONF,0.0000
14,0.466,0,0.00,0,0.0000,0.0000,0,0,0,-1,LOW CONF,0.0000
15,0.500,0,0.00,0,0.0000,0.0000,0,0,0,-1,LOW CONF,0.0000
16,0.533,0,0.00,0,0.0000,0.0000,0,0,0,-1,LOW CONF,0.0000
17,0.566,0,0.00,0,0.0000,0.0000,0,0,0,-1,LOW CONF,0.0000
18,0.600,0,0.00,0,0.0000,0.0000,0,0,0,-1,LOW CONF,0.0000
19,0.633,0,0.00,0,0.0000,0.0000,0,0,0,-1,LOW CONF,0.0000
