metric,087_best_model,103_best_model,104_best_model,best,delta,primary
overall_accuracy,0.8961,0.8967,0.8983,104_best_model,0.0021,YES
overall_top2_accuracy,0.9200,0.9145,0.9176,087_best_model,0.0055,
overall_macro_f1,0.8548,0.8477,0.8458,087_best_model,0.0090,
overall_event_det_rate_ratio,1.0000,1.0000,1.0000,=,0.0000,
overall_event_det_rate_prob,0.9333,0.9333,0.9333,=,0.0000,

walk_accuracy,0.9693,0.9693,0.9727,104_best_model,0.0034,YES
walk_event_rate,1.0000,1.0000,1.0000,=,0.0000,
walk_top2_accuracy,1.0000,1.0000,1.0000,=,0.0000,
walk_avg_true_prob,0.9567,0.9447,0.9594,104_best_model,0.0148,
walk_max_true_prob,1.0000,0.9999,1.0000,=,0.0000,
walk_prob_event_rate,1.0000,1.0000,1.0000,=,0.0000,
walk_n_videos_detected,4/4,4/4,4/4,-,-
walk_prob_videos_detected,4/4,4/4,4/4,-,-
walk_n_correct,568,568,570,-,-
walk_n_windows,586,586,586,-,-

lick_accuracy,1.0000,1.0000,1.0000,=,0.0000,YES
lick_event_rate,1.0000,1.0000,1.0000,=,0.0000,
lick_top2_accuracy,1.0000,1.0000,1.0000,=,0.0000,
lick_avg_true_prob,0.8833,0.9227,0.8867,103_best_model,0.0394,
lick_max_true_prob,0.9787,0.9867,0.9804,103_best_model,0.0080,
lick_prob_event_rate,1.0000,1.0000,1.0000,=,0.0000,
lick_n_videos_detected,5/5,5/5,5/5,-,-
lick_prob_videos_detected,5/5,5/5,5/5,-,-
lick_n_correct,311,311,311,-,-
lick_n_windows,311,311,311,-,-

scratch_accuracy,0.5303,0.5455,0.5515,104_best_model,0.0212,YES
scratch_event_rate,1.0000,1.0000,1.0000,=,0.0000,
scratch_top2_accuracy,0.6000,0.5727,0.5879,087_best_model,0.0273,
scratch_avg_true_prob,0.5235,0.5336,0.5416,104_best_model,0.0181,
scratch_max_true_prob,0.9995,0.9988,0.9996,=,0.0008,
scratch_prob_event_rate,1.0000,1.0000,1.0000,=,0.0000,
scratch_n_videos_detected,5/5,5/5,5/5,-,-
scratch_prob_videos_detected,5/5,5/5,5/5,-,-
scratch_n_correct,175,180,182,-,-
scratch_n_windows,330,330,330,-,-

shake_accuracy,1.0000,1.0000,1.0000,=,0.0000,YES
shake_event_rate,1.0000,1.0000,1.0000,=,0.0000,
shake_top2_accuracy,1.0000,1.0000,1.0000,=,0.0000,
shake_avg_true_prob,0.9977,0.9968,0.9983,104_best_model,0.0015,
shake_max_true_prob,0.9999,1.0000,1.0000,=,0.0000,
shake_prob_event_rate,0.6667,0.6667,0.6667,=,0.0000,
shake_n_videos_detected,6/6,6/6,6/6,-,-
shake_prob_videos_detected,4/6,4/6,4/6,-,-
shake_n_correct,36,36,36,-,-
shake_n_windows,36,36,36,-,-

stop_accuracy,0.9631,0.9567,0.9551,087_best_model,0.0080,YES
stop_event_rate,1.0000,1.0000,1.0000,=,0.0000,
stop_top2_accuracy,1.0000,1.0000,1.0000,=,0.0000,
stop_avg_true_prob,0.9304,0.8569,0.8698,087_best_model,0.0735,
stop_max_true_prob,0.9959,0.9876,0.9860,087_best_model,0.0099,
stop_prob_event_rate,1.0000,1.0000,1.0000,=,0.0000,
stop_n_videos_detected,7/7,7/7,7/7,-,-
stop_prob_videos_detected,7/7,7/7,7/7,-,-
stop_n_correct,601,597,596,-,-
stop_n_windows,624,624,624,-,-

