class,video,116_xy_conf_v_bone_T32_att_on[T16]_accuracy,116_xy_conf_v_bone_T32_att_on[T24]_accuracy,116_xy_conf_v_bone_T32_att_on[T32]_accuracy,116_xy_conf_v_bone_T32_att_on[T16]_n_windows,116_xy_conf_v_bone_T32_att_on[T24]_n_windows,116_xy_conf_v_bone_T32_att_on[T32]_n_windows
walk,walk_12.mp4,0.9143,0.9802,1.0000,105,101,97
walk,walk_18.mp4,0.9298,1.0000,1.0000,114,110,106
walk,walk_24.mp4,0.9500,1.0000,1.0000,80,76,72
walk,walk_29.mp4,1.0000,1.0000,1.0000,287,283,279
lick,7月3日(1).mp4,1.0000,1.0000,1.0000,60,56,52
lick,7月3日(2).mp4,1.0000,1.0000,1.0000,70,66,62
lick,7月3日(3).mp4,1.0000,1.0000,1.0000,53,49,45
lick,7月3日(4).mp4,1.0000,1.0000,1.0000,66,62,58
lick,7月3日.mp4,1.0000,1.0000,1.0000,62,58,54
scratch,7月3日 (2)(2).mp4,0.3191,0.3488,0.3846,47,43,39
scratch,7月3日 (2)(4).mp4,0.4921,0.5254,0.6000,63,59,55
scratch,7月3日 (2)(1).mp4,0.5429,0.5909,0.6452,70,66,62
scratch,7月3日 (2).mp4,0.6173,0.6494,0.6712,81,77,73
scratch,7月3日 (2)(3).mp4,0.6377,0.7077,0.7377,69,65,61
shake,7月3日(1).mp4,1.0000,1.0000,1.0000,9,5,1
shake,7月3日(2).mp4,1.0000,,,2,0,0
shake,7月3日(3).mp4,1.0000,,,2,0,0
shake,7月3日(4).mp4,1.0000,1.0000,1.0000,9,5,1
shake,7月3日(5).mp4,1.0000,1.0000,1.0000,9,5,1
shake,7月3日.mp4,1.0000,1.0000,,5,1,0
stop,stop_2.mp4,0.8953,0.9251,1.0000,191,187,183
stop,stop_3.mp4,1.0000,1.0000,1.0000,116,112,108
stop,stop_36.mp4,1.0000,1.0000,1.0000,17,13,9
stop,stop_48.mp4,1.0000,1.0000,1.0000,20,16,12
stop,stop_6.mp4,1.0000,1.0000,1.0000,135,131,127
stop,stop_71.mp4,1.0000,1.0000,1.0000,38,34,30
stop,stop_75.mp4,1.0000,1.0000,1.0000,107,103,99
