metric,124_best_model[V14],125_best_model[V17],best,delta,primary
overall_accuracy,0.6745,0.6734,124_best_model[V14],0.0011,YES
overall_top2_accuracy,0.7947,0.7624,124_best_model[V14],0.0323,
overall_macro_f1,0.6686,0.6648,124_best_model[V14],0.0038,
overall_event_det_rate_ratio,1.0000,1.0000,=,0.0000,
overall_event_det_rate_prob,1.0000,1.0000,=,0.0000,

walk_accuracy,0.9762,0.9921,125_best_model[V17],0.0159,YES
walk_event_rate,1.0000,1.0000,=,0.0000,
walk_top2_accuracy,0.9921,1.0000,125_best_model[V17],0.0079,
walk_avg_true_prob,0.9680,0.9728,125_best_model[V17],0.0048,
walk_max_true_prob,0.9999,0.9998,=,0.0001,
walk_prob_event_rate,1.0000,1.0000,=,0.0000,
walk_n_videos_detected,3/3,3/3,-,-
walk_prob_videos_detected,3/3,3/3,-,-
walk_n_correct,123,125,-,-
walk_n_windows,126,126,-,-

lick_accuracy,1.0000,1.0000,=,0.0000,YES
lick_event_rate,1.0000,1.0000,=,0.0000,
lick_top2_accuracy,1.0000,1.0000,=,0.0000,
lick_avg_true_prob,0.9184,0.8606,124_best_model[V14],0.0578,
lick_max_true_prob,0.9815,0.9687,124_best_model[V14],0.0128,
lick_prob_event_rate,1.0000,1.0000,=,0.0000,
lick_n_videos_detected,5/5,5/5,-,-
lick_prob_videos_detected,5/5,5/5,-,-
lick_n_correct,209,209,-,-
lick_n_windows,209,209,-,-

scratch_accuracy,0.5471,0.5516,125_best_model[V17],0.0045,YES
scratch_event_rate,1.0000,1.0000,=,0.0000,
scratch_top2_accuracy,0.7175,0.6547,124_best_model[V14],0.0628,
scratch_avg_true_prob,0.5422,0.5369,124_best_model[V14],0.0053,
scratch_max_true_prob,0.9994,0.9994,=,0.0000,
scratch_prob_event_rate,1.0000,1.0000,=,0.0000,
scratch_n_videos_detected,5/5,5/5,-,-
scratch_prob_videos_detected,5/5,5/5,-,-
scratch_n_correct,122,123,-,-
scratch_n_windows,223,223,-,-

shake_accuracy,0.3587,0.3641,125_best_model[V17],0.0054,YES
shake_event_rate,1.0000,1.0000,=,0.0000,
shake_top2_accuracy,0.5380,0.5000,124_best_model[V14],0.0380,
shake_avg_true_prob,0.3629,0.3630,=,0.0001,
shake_max_true_prob,1.0000,1.0000,=,0.0000,
shake_prob_event_rate,1.0000,1.0000,=,0.0000,
shake_n_videos_detected,6/6,6/6,-,-
shake_prob_videos_detected,6/6,6/6,-,-
shake_n_correct,66,67,-,-
shake_n_windows,184,184,-,-

stop_accuracy,0.5411,0.5068,124_best_model[V14],0.0342,YES
stop_event_rate,1.0000,1.0000,=,0.0000,
stop_top2_accuracy,0.7260,0.6575,124_best_model[V14],0.0685,
stop_avg_true_prob,0.5359,0.4940,124_best_model[V14],0.0419,
stop_max_true_prob,0.9928,0.9897,124_best_model[V14],0.0032,
stop_prob_event_rate,1.0000,1.0000,=,0.0000,
stop_n_videos_detected,3/3,3/3,-,-
stop_prob_videos_detected,3/3,3/3,-,-
stop_n_correct,79,74,-,-
stop_n_windows,146,146,-,-

