Keypoint,Mean,Std,P95,Max
Nose,6.7518,4.3311,14.5300,22.0868
Left_Ear,6.8188,3.3817,11.4239,16.0079
Right_Ear,8.3269,8.3105,18.1997,78.8392
Chest,6.5362,4.5175,13.5825,35.8061
Mid_Back,5.8211,3.7349,12.6091,25.5688
Hip,6.5371,3.8231,14.2921,19.2094
LF_Elbow,10.2088,7.7739,27.0361,44.4735
LF_Paw,18.6553,14.9396,52.7388,77.9567
RF_Elbow,9.4202,7.0542,25.0588,42.9862
RF_Paw,17.6388,13.9943,48.8954,74.2159
LH_Knee,8.6819,7.8882,20.5815,65.1475
LH_Paw,15.2136,15.6822,42.7090,122.2385
RH_Knee,7.9619,4.5406,15.7338,27.3004
RH_Paw,14.1641,9.5932,33.1413,60.0375
Tail_Root,0.0000,0.0000,0.0000,0.0000
Tail_Mid,0.0000,0.0000,0.0000,0.0000
Tail_Tip,0.0000,0.0000,0.0000,0.0000
